Datetime,Equity_Value,Date
2017-10-30 13:09:00,1094752.1,2017-10-30
2017-10-30 13:10:00,1094752.6,2017-10-30
2017-10-30 13:11:00,1094752.95,2017-10-30
2017-10-30 13:12:00,1094753.75,2017-10-30
2017-10-30 13:13:00,1094752.05,2017-10-30
2017-10-30 13:14:00,1094752.8,2017-10-30
2017-10-30 13:15:00,1094753.25,2017-10-30
2017-10-30 13:16:00,1094753.75,2017-10-30
2017-10-30 13:17:00,1094752.55,2017-10-30
2017-10-30 13:18:00,1094750.5,2017-10-30
2017-10-30 13:19:00,1094751.1,2017-10-30
2017-10-30 13:20:00,1094752.6,2017-10-30
2017-10-30 13:21:00,1094753.85,2017-10-30
2017-10-30 13:22:00,1094755.2,2017-10-30
2017-10-30 13:23:00,1094753.6,2017-10-30
2017-10-30 13:24:00,1094753.3,2017-10-30
2017-10-30 13:25:00,1094755.2,2017-10-30
2017-10-30 13:26:00,1094754.25,2017-10-30
2017-10-30 13:27:00,1094752.9,2017-10-30
